"prior","output"
"$ 0","99"
"$ 1","million"
"$ 10","000"
"$ 100","000"
"$ 105","000"
"$ 107","000"
"$ 108","000"
"$ 11","million"
"$ 110","000"
"$ 115","000"
"$ 117","000"
"$ 118","000"
"$ 119","million"
"$ 12","million"
"$ 120","000"
"$ 122","000"
"$ 123","000"
"$ 124","million"
"$ 125","000"
"$ 128","million"
"$ 13","000"
"$ 130","000"
"$ 136","000"
"$ 14","million"
"$ 140","000"
"$ 143","million"
"$ 149","000"
"$ 15","million"
"$ 150","000"
"$ 154","million"
"$ 158","000"
"$ 16","million"
"$ 160","000"
"$ 162","million"
"$ 165","000"
"$ 168","million"
"$ 169","million"
"$ 17","million"
"$ 170","000"
"$ 175","000"
"$ 18","000"
"$ 180","million"
"$ 188","000"
"$ 19","99"
"$ 190","000"
"$ 195","000"
"$ 2","million"
"$ 20","000"
"$ 200","000"
"$ 205","000"
"$ 206","million"
"$ 207","000"
"$ 21","million"
"$ 215","000"
"$ 22","million"
"$ 220","000"
"$ 225","000"
"$ 23","million"
"$ 232","000"
"$ 235","000"
"$ 24","99"
"$ 240","000"
"$ 25","000"
"$ 250","000"
"$ 26","million"
"$ 262","000"
"$ 27","million"
"$ 275","000"
"$ 279","000"
"$ 28","000"
"$ 280","000"
"$ 285","000"
"$ 29","000"
"$ 292","000"
"$ 3","000"
"$ 30","million"
"$ 300","000"
"$ 31","000"
"$ 310","000"
"$ 315","000"
"$ 32","million"
"$ 33","000"
"$ 34","000"
"$ 340","000"
"$ 35","000"
"$ 350","million"
"$ 36","000"
"$ 37","000"
"$ 38","million"
"$ 385","million"
"$ 387","000"
"$ 39","99"
"$ 390","million"
"$ 399","caliente"
"$ 4","billion"
"$ 40","000"
"$ 400","000"
"$ 41","000"
"$ 410","million"
"$ 415","000"
"$ 418","250"
"$ 42","million"
"$ 425","million"
"$ 43","million"
"$ 44","million"
"$ 447","billion"
"$ 45","000"
"$ 450","000"
"$ 46","million"
"$ 462","500"
"$ 47","million"
"$ 475","000"
"$ 476","million"
"$ 48","000"
"$ 49","99"
"$ 5","000"
"$ 50","000"
"$ 500","000"
"$ 52","000"
"$ 525","000"
"$ 53","000"
"$ 54","000"
"$ 540","million"
"$ 55","000"
"$ 550","000"
"$ 57","000"
"$ 570","000"
"$ 575","000"
"$ 58","000"
"$ 59","000"
"$ 6","million"
"$ 60","000"
"$ 600","million"
"$ 62","000"
"$ 63","million"
"$ 64","000"
"$ 640","million"
"$ 65","000"
"$ 650","000"
"$ 67","000"
"$ 69","000"
"$ 7","500"
"$ 70","000"
"$ 700","million"
"$ 710","million"
"$ 72","000"
"$ 74","000"
"$ 75","000"
"$ 750","000"
"$ 78","million"
"$ 79","000"
"$ 8","million"
"$ 80","000"
"$ 800","000"
"$ 82","500"
"$ 825","000"
"$ 85","000"
"$ 850","000"
"$ 86","million"
"$ 87","000"
"$ 9","million"
"$ 90","000"
"$ 900","000"
"$ 91","million"
"$ 92","000"
"$ 95","000"
"$ 970","million"
"$ 98","5"
"$ 99","00"
"$ ap","rocky"
"$ for","next"
"$ to","support"
"% a","year"
"% and","88"
"% in","2011"
"% last","year"
"% more","likely"
"% of","people"
"% off","coupon"
"% pay","cut"
"% that","s"
"% this","year"
"% to","$"
"% vs","+"
"% whole","grain"
"% –","rest"
"& $","5"
"& 1","/"
"& 12","/"
"& 2","s"
"& 80","s"
"& a","w"
"& administer","product"
"& agen","secs"
"& am","happy"
"& amp","world"
"& an","awesome"
"& b","singer"
"& bar","live"
"& blu","ray"
"& c","forestland"
"& can","t"
"& come","back"
"& crematory","kissimmee"
"& custom","t"
"& dave","promotion"
"& delicious","snack"
"& didn","t"
"& doesn","t"
"& don","t"
"& drink","specials"
"& e","s"
"& every","day"
"& everyone","else"
"& financial","security"
"& for","news"
"& g","s"
"& garden","show"
"& get","free"
"& girls","club"
"& god","bless"
"& good","luck"
"& graphic","design"
"& grossed","$"
"& h","fair"
"& happy","new"
"& harriet","s"
"& have","fun"
"& haven","t"
"& he","s"
"& her","friends"
"& his","family"
"& how","much"
"& hybrid","heights"
"& i","m"
"& ill","let"
"& incredibly","close"
"& interesting","tweets"
"& it","s"
"& j","s"
"& jerry","s"
"& join","us"
"& just","want"
"& l","wine"
"& let","us"
"& listen","2"
"& live","music"
"& look","forward"
"& looking","forward"
"& m","s"
"& merry","christmas"
"& music","festival"
"& my","mom"
"& no","one"
"& noble","s"
"& not","know"
"& of","course"
"& other","stuff"
"& out","three"
"& p","500"
"& pastor","troy"
"& peanut","butter"
"& pearls","couture"
"& poor","s"
"& prayers","go"
"& princess","charm"
"& quot","top"
"& rescue","spokesman"
"& rt","yes"
"& ruffy","s"
"& safe","holiday"
"& say","happy"
"& science","university"
"& she","s"
